size,compress,add,compressed_add,subtract,compressed_subtract,multiply,compressed_multiply,dot,compressed_dot,decompress
8,1,0,1,0,0,1,0,0,2,1
16,2,0,1,1,0,1,0,1,1,1
32,6,1,4,2,2,1,0,1,2,5
64,23,5,15,5,6,5,1,1,4,19
128,95,25,54,26,26,24,4,0,7,77
256,374,94,198,98,103,91,13,1,14,309
512,1510,441,736,455,417,422,65,1,29,1346
1024,6016,1963,2659,2010,1692,1870,284,5,56,5387
2048,24131,8742,9322,8813,6801,7981,1199,18,112,21572
4096,96486,34329,32808,34555,26790,29767,4403,49,217,82853
8192,383728,127940,119942,127663,105918,109317,16068,140,444,322007